PCON21CD,PCON21NM,SAM_WPC_DEC_2020_UK_AREAEHECT,SAM_PCON_DEC_2021_UK_AREAEHECT,EOTR_Diff,Reason,SAM_WPC_DEC_2020_UK_AREACHECT,SAM_PCON_DEC_2021_UK_AREACHECT,CtoC_Diff,Reason,SAM_WPC_DEC_2020_UK_AREAIHECT,SAM_PCON_DEC_2021_UK_AREAIHECT,ILW_Diff,Reason,SAM_WPC_DEC_2020_UK_AREALHECT,SAM_PCON_DEC_2021_UK_AREALHECT,LC_Diff,Reason
E14000577,Bolsover,22640.55,22640.55,0,,22640.55,22640.55,0,,0,0,0,,22640.55,22640.55,0,
E14000578,Bolton North East,3594.33,3594.33,0,,3594.33,3594.33,0,,0,0,0,,3594.33,3594.33,0,
E14000579,Bolton South East,3682.42,3682.42,0,,3682.42,3682.42,0,,0,0,0,,3682.42,3682.42,0,
E14000580,Bolton West,7176.37,7176.37,0,,7176.37,7176.37,0,,0,0,0,,7176.37,7176.37,0,
E14000581,Bootle,2812.76,2787.32,25.44,Change in Foreshore,2584.36,2584.37,-0.01,,0,0,0,,2584.36,2584.37,-0.01,
E14000582,Boston and Skegness,78156.88,78156.88,0,,70717.83,70717.83,0,,0,0,0,,70717.83,70717.83,0,
E14000583,Bosworth,28904.09,28904.09,0,,28904.09,28904.09,0,,0,0,0,,28904.09,28904.09,0,
E14000584,Bournemouth East,2627.4,2627.4,0,,2553.05,2553.05,0,,0,0,0,,2553.05,2553.05,0,
E14000585,Bournemouth West,2727.09,2727.09,0,,2717.82,2717.82,0,,0,0,0,,2717.82,2717.82,0,
E14000586,Bracknell,7394.67,7394.67,0,,7394.67,7394.67,0,,0,0,0,,7394.67,7394.67,0,
E14000587,Bradford East,2845.44,2845.44,0,,2845.44,2845.44,0,,0,0,0,,2845.44,2845.44,0,
E14000588,Bradford South,4326.11,4326.11,0,,4326.11,4326.11,0,,0,0,0,,4326.11,4326.11,0,
E14000589,Bradford West,3524.45,3524.45,0,,3524.45,3524.45,0,,0,0,0,,3524.45,3524.45,0,
E14000590,Braintree,46756.51,46756.51,0,,46756.51,46756.51,0,,0,0,0,,46756.51,46756.51,0,
E14000591,Brent Central,1829.14,1829.14,0,,1829.14,1829.14,0,,0,0,0,,1829.14,1829.14,0,
E14000592,Brent North,2078.82,2078.82,0,,2078.82,2078.82,0,,0,0,0,,2078.82,2078.82,0,
E14000593,Brentford and Isleworth,2676.57,2676.57,0,,2613.87,2613.87,0,,0,0,0,,2613.87,2613.87,0,
E14000594,Brentwood and Ongar,31670.9,31670.9,0,,31670.9,31670.9,0,,0,0,0,,31670.9,31670.9,0,
E14000595,Bridgwater and West Somerset,112565.67,112564.5,1.17,,108161.7,108160.53,1.17,,148,148.97,-0.97,,108012.73,108011.56,1.17,
E14000596,Brigg and Goole,66568.85,66568.96,-0.11,,63730.81,63731.92,-1.11,,0,0,0,,63730.81,63731.92,-1.11,
E14000597,"Brighton, Kemptown",4266.63,4266.63,0,,3976,3976,0,,0,0,0,,3976,3976,0,
E14000598,"Brighton, Pavilion",2909.2,2909.2,0,,2903.79,2903.79,0,,0,0,0,,2903.79,2903.79,0,
E14000599,Bristol East,2374.59,2374.59,0,,2370.88,2370.88,0,,0,0,0,,2370.88,2370.88,0,
E14000600,Bristol North West,16955.78,16955.78,0,,4414.25,4414.25,0,,0,0,0,,4414.25,4414.25,0,
E14000601,Bristol South,2469.26,2469.26,0,,2457.64,2457.64,0,,0,0,0,,2457.64,2457.64,0,
E14000602,Bristol West,1744.54,1744.54,0,,1723.92,1723.92,0,,0,0,0,,1723.92,1723.92,0,
E14000603,Broadland,76502.81,76502.81,0,,76395.3,76395.3,0,,0,0,0,,76395.3,76395.3,0,
E14000604,Bromley and Chislehurst,2940.43,2940.43,0,,2940.43,2940.43,0,,0,0,0,,2940.43,2940.43,0,
E14000605,Bromsgrove,21696.85,21696.85,0,,21696.85,21696.85,0,,0,0,0,,21696.85,21696.85,0,
E14000606,Broxbourne,6687.06,6687.06,0,,6687.06,6687.06,0,,0,0,0,,6687.06,6687.06,0,
E14000607,Broxtowe,6579.06,6579.06,0,,6579.06,6579.06,0,,0,0,0,,6579.06,6579.06,0,
E14000608,Buckingham,86694.59,86695.46,-0.87,,86694.59,86695.46,-0.87,,0,0,0,,86694.59,86695.46,-0.87,
E14000609,Burnley,11068.4,11068.4,0,,11068.4,11068.4,0,,0,0,0,,11068.4,11068.4,0,
E14000610,Burton,24337.64,24337.64,0,,24337.64,24337.64,0,,0,0,0,,24337.64,24337.64,0,
E14000611,Bury North,5101.31,5101.42,-0.11,,5101.31,5101.42,-0.11,,0,0,0,,5101.31,5101.42,-0.11,
E14000612,Bury South,4844.7,4844.59,0.11,,4844.7,4844.59,0.11,,0,0,0,,4844.7,4844.59,0.11,
E14000613,Bury St Edmunds,50205.85,50205.85,0,,50205.85,50205.85,0,,0,0,0,,50205.85,50205.85,0,
E14000614,Calder Valley,30626.27,30626.27,0,,30626.27,30626.27,0,,0,0,0,,30626.27,30626.27,0,
E14000615,Camberwell and Peckham,1140.49,1140.49,0,,1140.49,1140.49,0,,0,0,0,,1140.49,1140.49,0,
E14000616,Camborne and Redruth,28361.02,28361.23,-0.21,,27927.43,27927.26,0.17,,0,0,0,,27927.43,27927.26,0.17,
E14000617,Cambridge,3618.16,3618.28,-0.12,,3618.16,3618.28,-0.12,,0,0,0,,3618.16,3618.28,-0.12,
E14000618,Cannock Chase,7888.26,7888.26,0,,7888.26,7888.26,0,,0,0,0,,7888.26,7888.26,0,
E14000619,Canterbury,25703.09,25705.73,-2.64,,24869.59,24869.59,0,,0,0,0,,24869.59,24869.59,0,
E14000620,Carlisle,21216.4,21227.71,-11.31,,21057.9,21056.57,1.33,,0,0,0,,21057.9,21056.57,1.33,
E14000621,Carshalton and Wallington,2549.79,2549.64,0.15,,2549.79,2549.64,0.15,,0,0,0,,2549.79,2549.64,0.15,
E14000622,Castle Point,6374.32,6362.21,12.11,Change in Foreshore,4467.35,4467.35,0,,0,0,0,,4467.35,4467.35,0,
E14000623,Central Devon,141471.56,141472.35,-0.79,,141344.62,141344.45,0.17,,0,0,0,,141344.62,141344.45,0.17,
E14000624,Central Suffolk and North Ipswich,79622.66,79622.66,0,,79622.66,79622.66,0,,0,0,0,,79622.66,79622.66,0,
E14000625,Charnwood,17152.57,17152.57,0,,17152.57,17152.57,0,,0,0,0,,17152.57,17152.57,0,
E14000626,Chatham and Aylesford,6231.66,6231.66,0,,6145.75,6145.75,0,,0,0,0,,6145.75,6145.75,0,
E14000627,Cheadle,3937.21,3937.21,0,,3937.21,3937.21,0,,0,0,0,,3937.21,3937.21,0,
E14000628,Chelmsford,4239.17,4239.17,0,,4239.17,4239.17,0,,0,0,0,,4239.17,4239.17,0,
E14000629,Chelsea and Fulham,912.42,912.42,0,,828.48,828.48,0,,0,0,0,,828.48,828.48,0,
E14000630,Cheltenham,3724.53,3724.53,0,,3724.53,3724.53,0,,0,0,0,,3724.53,3724.53,0,
E14000631,Chesham and Amersham,19634.82,19634.82,0,,19634.82,19634.82,0,,0,0,0,,19634.82,19634.82,0,
E14000632,Chesterfield,4735.68,4735.68,0,,4735.68,4735.68,0,,0,0,0,,4735.68,4735.68,0,
E14000633,Chichester,64732.26,64732.26,0,,62120.35,62120.35,0,,0,0,0,,62120.35,62120.35,0,
E14000634,Chingford and Woodford Green,1904.92,1904.92,0,,1904.92,1904.92,0,,0,0,0,,1904.92,1904.92,0,
E14000635,Chippenham,16762.25,16762.25,0,,16762.25,16762.25,0,,0,0,0,,16762.25,16762.25,0,
E14000636,Chipping Barnet,3460.76,3460.76,0,,3460.76,3460.76,0,,0,0,0,,3460.76,3460.76,0,
E14000637,Chorley,15520.39,15520.39,0,,15520.39,15520.39,0,,0,0,0,,15520.39,15520.39,0,
E14000638,Christchurch,10998.81,10998.81,0,,10872.1,10872.1,0,,0,0,0,,10872.1,10872.1,0,
E14000639,Cities of London and Westminster,1719.52,1719.52,0,,1638.28,1638.28,0,,0,0,0,,1638.28,1638.28,0,
E14000640,City of Chester,13377.38,13377.38,0,,13350.94,13350.94,0,,0,0,0,,13350.94,13350.94,0,
E14000641,City of Durham,18668.32,18668.01,0.31,,18668.32,18668.01,0.31,,0,0,0,,18668.32,18668.01,0.31,
E14000642,Clacton,14508.97,14508.97,0,,13120.45,13120.45,0,,0,0,0,,13120.45,13120.45,0,
E14000643,Cleethorpes,34704.75,34704.75,0,,33122.63,33122.63,0,,0,0,0,,33122.63,33122.63,0,
E14000644,Colchester,4574.22,4574.22,0,,4561.18,4561.18,0,,0,0,0,,4561.18,4561.18,0,
E14000645,Colne Valley,18037.17,18037.17,0,,18037.17,18037.17,0,,0,0,0,,18037.17,18037.17,0,
E14000646,Congleton,21100.52,21100.52,0,,21100.52,21100.52,0,,0,0,0,,21100.52,21100.52,0,
E14000647,Copeland,122243.12,122242.96,0.16,,118452.26,118452.1,0.16,,1941,1941.19,-0.19,,116511.07,116510.91,0.16,
E14000648,Corby,55395.12,55395.12,0,,55395.12,55395.12,0,,0,0,0,,55395.12,55395.12,0,
E14000649,Coventry North East,2723.23,2723.23,0,,2723.23,2723.23,0,,0,0,0,,2723.23,2723.23,0,
E14000650,Coventry North West,3852.42,3852.42,0,,3852.42,3852.42,0,,0,0,0,,3852.42,3852.42,0,
E14000651,Coventry South,3288.25,3288.25,0,,3288.25,3288.25,0,,0,0,0,,3288.25,3288.25,0,
E14000652,Crawley,4497.12,4497.12,0,,4497.12,4497.12,0,,0,0,0,,4497.12,4497.12,0,
E14000653,Crewe and Nantwich,13619.07,13619.07,0,,13619.07,13619.07,0,,0,0,0,,13619.07,13619.07,0,
E14000654,Croydon Central,2563.75,2563.75,0,,2563.75,2563.75,0,,0,0,0,,2563.75,2563.75,0,
E14000655,Croydon North,1756.71,1756.71,0,,1756.71,1756.71,0,,0,0,0,,1756.71,1756.71,0,
E14000656,Croydon South,4328.41,4328.41,0,,4328.41,4328.41,0,,0,0,0,,4328.41,4328.41,0,
E14000657,Dagenham and Rainham,4349.64,4349.64,0,,4096.71,4096.71,0,,0,0,0,,4096.71,4096.71,0,
E14000658,Darlington,3003.96,3003.96,0,,3003.96,3003.96,0,,0,0,0,,3003.96,3003.96,0,
E14000659,Dartford,8945.7,8945.7,0,,8587.22,8587.22,0,,0,0,0,,8587.22,8587.22,0,
E14000660,Daventry,74841.74,74841.74,0,,74841.74,74841.74,0,,298,298.49,-0.49,,74543.25,74543.25,0,
E14000661,Denton and Reddish,2568.53,2567.59,0.94,,2568.53,2567.59,0.94,,0,0,0,,2568.53,2567.59,0.94,
E14000662,Derby North,2950.83,2950.83,0,,2950.83,2950.83,0,,0,0,0,,2950.83,2950.83,0,
E14000663,Derby South,3122.07,3122.07,0,,3122.07,3122.07,0,,0,0,0,,3122.07,3122.07,0,
E14000664,Derbyshire Dales,91085.86,91085.86,0,,91085.86,91085.86,0,,289,289.37,-0.37,,90796.49,90796.49,0,
E14000665,Devizes,102342.24,102342.24,0,,102342.24,102342.24,0,,0,0,0,,102342.24,102342.24,0,
E14000666,Dewsbury,12607.06,12607.06,0,,12607.06,12607.06,0,,0,0,0,,12607.06,12607.06,0,
E14000667,Don Valley,25086.27,25086.21,0.06,,25086.27,25086.21,0.06,,0,0,0,,25086.27,25086.21,0.06,
E14000668,Doncaster Central,6069.81,6069.81,0,,6056.79,6056.79,0,,0,0,0,,6056.79,6056.79,0,
E14000669,Doncaster North,25699.05,25697.52,1.53,,25659.17,25657.64,1.53,,0,0,0,,25659.17,25657.64,1.53,
E14000670,Dover,21575.4,21575.4,0,,21417.58,21417.58,0,,0,0,0,,21417.58,21417.58,0,
E14000671,Dudley North,2307.38,2307.38,0,,2307.38,2307.38,0,,0,0,0,,2307.38,2307.38,0,
E14000672,Dudley South,2537.63,2537.63,0,,2537.63,2537.63,0,,0,0,0,,2537.63,2537.63,0,
E14000673,Dulwich and West Norwood,1482.6,1482.6,0,,1482.6,1482.6,0,,0,0,0,,1482.6,1482.6,0,
E14000674,Ealing Central and Acton,1792.96,1792.96,0,,1792.96,1792.96,0,,0,0,0,,1792.96,1792.96,0,
E14000675,Ealing North,2326.63,2326.63,0,,2326.63,2326.63,0,,0,0,0,,2326.63,2326.63,0,
E14000676,"Ealing, Southall",1434.62,1434.62,0,,1434.62,1434.62,0,,0,0,0,,1434.62,1434.62,0,
E14000677,Easington,11864.49,11865.3,-0.81,,11756.96,11757.77,-0.81,,0,0,0,,11756.96,11757.77,-0.81,
E14000678,East Devon,34087.35,34085.47,1.88,,33315.83,33315.62,0.21,,0,0,0,,33315.83,33315.62,0.21,
E14000679,East Ham,2099.36,2099.46,-0.1,,1885.3,1885.4,-0.1,,0,0,0,,1885.3,1885.4,-0.1,
E14000680,East Hampshire,46361.41,46361.64,-0.23,,46361.41,46361.64,-0.23,,0,0,0,,46361.41,46361.64,-0.23,
E14000681,East Surrey,25943.17,25943.17,0,,25943.17,25943.17,0,,0,0,0,,25943.17,25943.17,0,
E14000682,East Worthing and Shoreham,5745.75,5745.75,0,,5544.38,5544.38,0,,0,0,0,,5544.38,5544.38,0,
E14000683,East Yorkshire,105666.1,105666.39,-0.29,,105275.8,105276.1,-0.3,,0,0,0,,105275.8,105276.1,-0.3,
